Title,Year,Duration,Minimum Age,Rating,Vote Count
The Great Escape,1963,2h 52m,Approved,8.2,268K
Howl's Moving Castle,2004,1h 59m,PG,8.2,482K
Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,587K
The Elephant Man,1980,2h 4m,PG,8.2,272K
Dial M for Murder,1954,1h 45m,PG,8.2,198K
Gone with the Wind,1939,3h 58m,G,8.2,346K
Klaus,2019,1h 36m,PG,8.2,214K
Rashomon,1950,1h 28m,Not Rated,8.2,189K
Chinatown,1974,2h 10m,R,8.1,364K
The Secret in Their Eyes,2009,2h 9m,R,8.2,232K
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1,634K
V for Vendetta,2005,2h 12m,R,8.1,1.2M
Inside Out,2015,1h 35m,PG,8.1,865K
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1,582K
The Bridge on the River Kwai,1957,2h 41m,PG,8.1,241K
Trainspotting,1996,1h 33m,R,8.1,748K
Catch Me If You Can,2002,2h 21m,PG-13,8.1,1.2M
Raging Bull,1980,2h 9m,R,8.1,395K
The Wild Robot,2024,1h 42m,PG,8.2,164K
Fargo,1996,1h 38m,R,8.1,755K
Warrior,2011,2h 20m,PG-13,8.1,514K
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,995K
Gran Torino,2008,1h 56m,R,8.1,838K
Million Dollar Baby,2004,2h 12m,PG-13,8.1,745K
My Neighbor Totoro,1988,1h 26m,G,8.1,406K
Mad Max: Fury Road,2015,2h,R,8.1,1.2M
Ben-Hur,1959,3h 32m,G,8.1,263K
Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,948K
Barry Lyndon,1975,3h 5m,PG,8.1,193K
Dead Poets Society,1989,2h 8m,PG,8.1,589K
Children of Heaven,1997,1h 29m,PG,8.2,85K
12 Years a Slave,2013,2h 14m,R,8.1,764K
Before Sunrise,1995,1h 41m,R,8.1,358K
The Grand Budapest Hotel,2014,1h 39m,R,8.1,925K
Blade Runner,1982,1h 57m,R,8.1,853K
Hacksaw Ridge,2016,2h 19m,R,8.1,635K
Gone Girl,2014,2h 29m,R,8.1,1.1M
